Date,Year,IBM,AAPL,MSFT,XRX,AMZN,DELL,GOOGL,ADBE,^GSPC,^IXIC
01/10/01,2001,61.66085815,0.268108875,18.27523804,12.31213474,0.349000007,,,13.13319588,1059.780029,1690.199951
01/11/01,2001,65.95150757,0.325212061,20.17975616,14.77455807,0.565999985,,,15.95882702,1139.449951,1930.579956
07/11/01,2001,,,,,,,,,,
01/12/01,2001,69.10060883,0.334372669,20.82087898,18.32748795,0.541000009,,,15.44642735,1148.079956,1950.400024
01/01/02,2002,61.63407898,0.377429634,20.02261925,19.92807007,0.709500015,,,16.77148628,1130.199951,1934.030029
01/02/02,2002,56.05279922,0.331319481,18.33494568,17.07868195,0.704999983,,,18.10523987,1106.72998,1731.48999
06/02/02,2002,,,,,,,,,,
01/03/02,2002,59.49020767,0.361398131,18.95407486,18.90791702,0.714999974,,,20.05113029,1147.390015,1845.349976
01/04/02,2002,47.91254044,0.370558769,16.42414474,15.56605339,0.834500015,,,19.89361191,1076.920044,1688.22998
01/05/02,2002,46.01911926,0.355748177,15.99986553,15.7771225,0.911499977,,,17.97196198,1067.140015,1615.72998
08/05/02,2002,,,,,,,,,,
01/06/02,2002,41.2664299,0.270552427,17.1909771,10.55325985,0.8125,,,14.18838978,989.8200073,1463.209961
01/07/02,2002,40.34942245,0.232992396,15.07903385,12.22419167,0.722500026,,,11.93378258,911.6199951,1328.26001
01/08/02,2002,43.2036972,0.225205734,15.42473507,12.32972145,0.746999979,,,10.01123047,916.0700073,1314.849976
07/08/02,2002,,,,,,,,,,
01/09/02,2002,33.49409485,0.221388996,13.7464962,8.706437111,0.796500027,,,9.513158798,815.2800293,1172.060059
01/10/02,2002,45.3442421,0.245359331,16.80442619,11.6789341,0.967999995,,,11.78220463,885.7600098,1329.75
01/11/02,2002,49.92806625,0.236657083,18.12752533,15.33740139,1.167500019,,,14.71778679,936.3099976,1478.780029
06/11/02,2002,,,,,,,,,,
01/12/02,2002,44.59901047,0.218793094,16.24814987,14.1589489,0.944500029,,,12.36034966,879.8200073,1335.51001
01/01/03,2003,45.00184631,0.219251394,14.91561222,15.56605339,1.092499971,,,13.16776085,855.7000122,1320.910034
01/02/03,2003,44.85797119,0.229175538,14.89675617,15.82988358,1.100499988,,,13.71251297,841.1500244,1337.52002
06/02/03,2003,,,,,,,,,,
01/03/03,2003,45.22197723,0.215892017,15.26625156,15.30222034,1.301499963,,,15.37297344,848.1799927,1341.170044
01/04/03,2003,48.95253372,0.217113838,16.1238308,17.34251785,1.434499979,,,17.22471046,916.9199829,1464.310059
01/05/03,2003,50.76301956,0.274064034,15.51848221,19.22452354,1.794499993,,,17.61879158,963.5900269,1595.910034
07/05/03,2003,,,,,,,,,,
01/06/03,2003,47.65584564,0.291011423,16.16796875,18.62650871,1.815999985,,,15.99757862,974.5,1622.800049
01/07/03,2003,46.93377304,0.321853518,16.65351486,18.99586105,2.082000017,,,16.33343124,990.3099976,1735.02002
01/08/03,2003,47.3727951,0.345213473,16.72288132,18.96068382,2.315999985,,,19.37755013,1008.01001,1810.449951
06/08/03,2003,,,,,,,,,,
01/09/03,2003,51.12596512,0.316356629,17.53001404,18.04607201,2.421499968,,,19.65700722,995.9699707,1786.939941
01/10/03,2003,51.79159927,0.349488556,16.48325539,18.46820259,2.72149992,,,21.8446312,1050.709961,1932.209961
01/11/03,2003,52.40512848,0.319257677,16.30305672,21.42311096,2.698499918,,,20.62161446,1058.199951,1960.26001
06/11/03,2003,,,,,,,,,,
01/12/03,2003,53.74093246,0.326280773,17.35569191,24.27248573,2.631000042,,,19.50841713,1111.920044,2003.369995
01/01/04,2004,57.53900146,0.344449937,17.53324127,25.74994659,2.519999981,,,19.11904716,1131.130005,2066.149902
01/02/04,2004,55.95598602,0.365214884,16.8230381,24.8705101,2.150500059,,,18.60096359,1144.939941,2029.819946
06/02/04,2004,,,,,,,,,,
01/03/04,2004,53.34019852,0.412851423,15.80844879,25.62683105,2.164000034,,,19.62464142,1126.209961,1994.219971
01/04/04,2004,51.20868301,0.393613428,16.56939125,23.6217041,2.180000067,,,20.72995186,1107.300049,1920.150024
01/05/04,2004,51.45262146,0.428424716,16.63280296,23.81518364,2.424999952,,,22.29343987,1120.680054,1986.73999
06/05/04,2004,,,,,,,,,,
01/06/04,2004,51.3008461,0.496826142,18.11028099,25.50370026,2.720000029,,,23.22753525,1140.839966,2047.790039
01/07/04,2004,50.67232513,0.493772745,18.06590271,24.37802315,1.94599998,,,21.07588196,1101.719971,1887.359985
01/08/04,2004,49.28722382,0.526599586,17.31130028,23.6217041,1.906999946,,,22.9196434,1104.23999,1838.099976
06/08/04,2004,,,,,,,,,,
01/09/04,2004,50.00397873,0.591641605,17.58496094,24.7649765,2.042999983,,64.86486816,24.71844101,1114.579956,1896.839966
01/10/04,2004,52.34260559,0.800052285,17.78847694,25.97859192,1.706500053,,95.4154129,28.00363731,1130.199951,1974.98999
01/11/04,2004,54.96117401,1.023731112,17.05073166,26.94597435,1.983999968,,91.08107758,30.26772118,1173.819946,2096.810059
08/11/04,2004,,,,,,,,,,
01/12/04,2004,57.60344696,0.983270824,18.93994331,29.91847992,2.21449995,,96.49149323,31.35727692,1211.920044,2175.439941
01/01/05,2005,54.58831024,1.17412281,18.6280632,27.9309597,2.161000013,,97.90790558,28.44441986,1181.27002,2062.409912
01/02/05,2005,54.09749222,1.369861007,17.83417511,27.43847275,1.758999944,,94.08908844,30.86894417,1203.599976,2051.719971
08/02/05,2005,,,,,,,,,,
01/03/05,2005,53.49815369,1.27244997,17.18527603,26.64696693,1.713500023,,90.34534454,33.5784111,1180.589966,1999.22998
01/04/05,2005,44.71644211,1.10114038,17.98873901,23.3051033,1.618000031,,110.1101074,29.73500061,1156.849976,1921.650024
01/05/05,2005,44.23051071,1.214125276,18.344244,23.86795235,1.775500059,,138.7737732,33.11999893,1191.5,2068.219971
06/05/05,2005,,,,,,,,,,
